pid,name,team,pos,photo,mp,starts,mins,g,a,yc,rc,pen,rating_best,xg,xa,npxg,bc_missed,bc_missed_xg,gk_shots_faced,gk_xgot_faced,gk_goals_conceded,prog_passes,prog_carries,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,ga,rating,pass_pct,xg_diff,xa_diff,xgi,npg,fwd_eff,gk_goals_prevented,xt_added_p90
402197,Pedri,Barcelona,MC,https://images.fotmob.com/image_resources/playerimages/1083323.png,5,4,354,1,1,0,0,0,8.2,0.49,0.83,0.49,0,0.0,0,0.0,0,44,0,4,1,307,283,5,373,13,0,0,3,1,5,5,0,2,7.22,92,0.51,0.17,1.32,1,2.04,,0.1168
413346,Jon Ander Olasagasti,Levante,DMC,https://images.fotmob.com/image_resources/playerimages/1131957.png,5,5,426,1,1,0,0,0,8.6,0.53,0.46,0.53,0,0.0,0,0.0,0,22,1,6,3,142,93,8,227,14,5,5,2,2,3,5,0,2,6.88,65,0.47,0.54,0.99,1,1.89,,0.1239
238899,Alex Berenguer,Athletic Club,Sub,https://images.fotmob.com/image_resources/playerimages/574629.png,5,2,276,1,1,1,0,0,8.2,0.26,1.05,0.26,0,0.0,0,0.0,0,37,1,5,2,107,85,9,192,5,4,4,2,3,2,4,0,2,6.86,79,0.74,-0.05,1.31,1,3.85,,0.4538
255182,Inaki Williams,Athletic Club,AMR,,5,5,325,1,1,0,0,0,7.2,2.22,0.08,2.22,2,0.93,0,0.0,0,6,4,11,5,48,27,5,107,6,1,4,4,3,1,3,0,2,6.82,56,-1.22,0.92,2.3,1,0.32,,0.0167
428620,Luismi Cruz,Deportivo A Coruña,Sub,https://images.fotmob.com/image_resources/playerimages/1204447.png,5,4,316,1,1,0,0,0,7.5,0.42,0.65,0.42,0,0.0,0,0.0,0,35,2,4,2,113,91,9,173,14,1,3,5,11,1,2,0,2,6.78,81,0.58,0.35,1.07,1,2.38,,0.0974
467181,Enzo Bardeli,Levante,Sub,https://images.fotmob.com/image_resources/playerimages/1332540.png,5,3,320,1,1,0,0,0,7.9,0.06,0.37,0.06,0,0.0,0,0.0,0,18,0,2,1,101,83,8,149,11,4,1,1,6,0,2,0,2,6.76,82,0.94,0.63,0.43,1,16.67,,0.1404
384064,Troy Parrott,Real Betis,Sub,https://images.fotmob.com/image_resources/playerimages/942365.png,4,2,184,1,1,0,0,0,7.3,1.08,0.19,1.08,2,0.53,0,0.0,0,5,0,5,2,31,24,4,63,4,0,0,1,1,4,3,0,2,6.7,77,-0.08,0.81,1.27,1,0.62,,-0.0624
464541,Marcos Fernandez,Espanyol,Sub,,5,1,196,1,1,2,0,0,7.3,1.52,0.57,1.52,2,0.72,0,0.0,0,3,0,10,4,26,17,3,52,3,0,5,1,7,1,1,0,2,6.64,65,-0.52,0.43,2.09,1,0.45,,0.1729
492362,Isaac Romero,Sevilla,FW,https://images.fotmob.com/image_resources/playerimages/1130991.png,4,2,187,1,1,2,0,0,8.3,0.23,0.02,0.23,0,0.0,0,0.0,0,12,0,4,1,49,35,2,99,5,1,10,1,6,3,4,0,2,6.6,71,0.77,0.98,0.25,1,4.35,,0.0359
362501,Cucho Hernandez,Real Betis,FW,https://images.fotmob.com/image_resources/playerimages/852071.png,6,4,363,1,1,0,0,0,7.6,1.51,0.22,1.51,2,0.71,0,0.0,0,18,1,7,4,95,68,5,156,4,0,5,5,2,2,9,0,2,6.57,72,-0.51,0.78,1.73,1,0.45,,0.0407
